,,,0
2012,wgt_return_12m,因子收益t值,-3.311775781793988
2012,wgt_return_12m,因子收益>0概率,0.16666666666666666
2012,wgt_return_12m,IC平均值,-0.04809843053965556
2012,wgt_return_12m,IC标准差,0.040957910551754885
2012,wgt_return_12m,ICIR,-1.174337994582947
2012,wgt_return_12m,IC>0概率,0.25
2012,wgt_return_1m,t值绝对值平均值,3.7323976076331467
2012,wgt_return_1m,t值绝对值>2概率,0.6666666666666666
2012,wgt_return_1m,因子收益平均值,-0.007094850023998909
2012,wgt_return_1m,因子收益标准差,0.004871355267370336
2012,wgt_return_1m,因子收益t值,-4.830474104622411
2012,wgt_return_1m,因子收益>0概率,0.0
2012,wgt_return_1m,IC平均值,-0.0860250206070145
2012,wgt_return_1m,IC标准差,0.057534322232840704
2012,wgt_return_1m,ICIR,-1.495194820560713
2012,wgt_return_1m,IC>0概率,0.0
2012,wgt_return_3m,t值绝对值平均值,3.7779316902994844
2012,wgt_return_3m,t值绝对值>2概率,0.9166666666666666
2012,wgt_return_3m,因子收益平均值,-0.0070256792691031555
2012,wgt_return_3m,因子收益标准差,0.0033058163705937185
2012,wgt_return_3m,因子收益t值,-7.048649840404964
2012,wgt_return_3m,因子收益>0概率,0.08333333333333333
2012,wgt_return_3m,IC平均值,-0.0757631290949433
2012,wgt_return_3m,IC标准差,0.038641930251951444
2012,wgt_return_3m,ICIR,-1.9606455630180952
2012,wgt_return_3m,IC>0概率,0.0
2012,wgt_return_6m,t值绝对值平均值,4.067403872889134
2012,wgt_return_6m,t值绝对值>2概率,0.8333333333333334
2012,wgt_return_6m,因子收益平均值,-0.007485673522073522
2012,wgt_return_6m,因子收益标准差,0.003373097315526168
2012,wgt_return_6m,因子收益t值,-7.360348087657615
2012,wgt_return_6m,因子收益>0概率,0.08333333333333333
2012,wgt_return_6m,IC平均值,-0.07683577874111952
2012,wgt_return_6m,IC标准差,0.03327322929157099
2012,wgt_return_6m,ICIR,-2.3092371969012366
2012,wgt_return_6m,IC>0概率,0.0
2013,DEA,t值绝对值平均值,3.6478055472575615
2013,DEA,t值绝对值>2概率,0.75
2013,DEA,因子收益平均值,0.0003669904191777967
2013,DEA,因子收益标准差,0.007997783358644737
2013,DEA,因子收益t值,0.15218835863469243
2013,DEA,因子收益>0概率,0.6666666666666666
2013,DEA,IC平均值,0.009873104874278045
2013,DEA,IC标准差,0.08450519280900069
2013,DEA,ICIR,0.1168342979418237
2013,DEA,IC>0概率,0.6666666666666666
2013,DIF,t值绝对值平均值,3.421594477530195
2013,DIF,t值绝对值>2概率,0.75
2013,DIF,因子收益平均值,-5.8196517648977736e-05
2013,DIF,因子收益标准差,0.007660146427271863
2013,DIF,因子收益t值,-0.025197431273607802
2013,DIF,因子收益>0概率,0.6666666666666666
2013,DIF,IC平均值,0.0005184031018066051
2013,DIF,IC标准差,0.0826802494902838
2013,DIF,ICIR,0.0062699750545325275
2013,DIF,IC>0概率,0.6666666666666666
2013,DTOA_barra,t值绝对值平均值,3.3458168257495307
2013,DTOA_barra,t值绝对值>2概率,0.9166666666666666
2013,DTOA_barra,因子收益平均值,-0.0050956130855060065
2013,DTOA_barra,因子收益标准差,0.006455788976505913
2013,DTOA_barra,因子收益t值,-2.617842179004364
2013,DTOA_barra,因子收益>0概率,0.25
2013,DTOA_barra,IC平均值,-0.042100125550510265
